island,kind,day,idx,name,distance_km,json_lat,json_lng,osm_lat,osm_lng,gmaps_link_json,gmaps_link_osm
amorgos,stop,0,4,Return to Chora,2.42,36.8319,25.8954,36.8439,25.918,"https://www.google.com/maps?q=36.8319,25.8954","https://www.google.com/maps?q=36.8439,25.918"
amorgos,stop,2,3,Return to Chora,2.42,36.8319,25.8954,36.8439,25.918,"https://www.google.com/maps?q=36.8319,25.8954","https://www.google.com/maps?q=36.8439,25.918"
sikinos,stop,0,2,Pantanassa Church,2.4,36.6961,25.1463,36.696,25.1194,"https://www.google.com/maps?q=36.6961,25.1463","https://www.google.com/maps?q=36.696,25.1194"
tinos,beach,,1,Pachia Ammos,2.4,37.5635,25.234,37.5423,25.229,"https://www.google.com/maps?q=37.5635,25.234","https://www.google.com/maps?q=37.5423,25.229"
kythnos,beach,,2,Episkopi,2.39,37.3807,24.4134,37.3996,24.4005,"https://www.google.com/maps?q=37.3807,24.4134","https://www.google.com/maps?q=37.3996,24.4005"
ithaca,stop,1,3,Kioni,2.32,38.44,20.7133,38.4492,20.6894,"https://www.google.com/maps?q=38.44,20.7133","https://www.google.com/maps?q=38.4492,20.6894"
folegandros,beach,,3,Livadaki Beach,2.31,36.645,24.8833,36.6366,24.8596,"https://www.google.com/maps?q=36.645,24.8833","https://www.google.com/maps?q=36.6366,24.8596"
serifos,stop,1,1,Koutalas Beach,2.3,37.1221,24.4706,37.1371,24.4527,"https://www.google.com/maps?q=37.1221,24.4706","https://www.google.com/maps?q=37.1371,24.4527"
antikythera,stop,0,1,Xeropotamos Beach,2.29,35.8689,23.3072,35.8869,23.2949,"https://www.google.com/maps?q=35.8689,23.3072","https://www.google.com/maps?q=35.8869,23.2949"
antikythera,beach,,1,Xeropotamos Beach,2.29,35.8689,23.3072,35.8869,23.2949,"https://www.google.com/maps?q=35.8689,23.3072","https://www.google.com/maps?q=35.8869,23.2949"
lemnos,stop,1,3,Moudros & Bay,2.29,39.8728,25.2522,39.89,25.2374,"https://www.google.com/maps?q=39.8728,25.2522","https://www.google.com/maps?q=39.89,25.2374"
naxos,stop,1,2,Kastraki Beach,2.23,37.0186,25.3754,37.0011,25.3878,"https://www.google.com/maps?q=37.0186,25.3754","https://www.google.com/maps?q=37.0011,25.3878"
naxos,beach,,2,Kastraki Beach,2.23,37.0186,25.3754,37.0011,25.3878,"https://www.google.com/maps?q=37.0186,25.3754","https://www.google.com/maps?q=37.0011,25.3878"
serifos,stop,1,2,Mega Chorio (abandoned),2.21,37.1765,24.47,37.1567,24.4676,"https://www.google.com/maps?q=37.1765,24.47","https://www.google.com/maps?q=37.1567,24.4676"
evia-north,stop,1,4,Drive back to Edipsos,2.2,38.8592,23.0455,38.879,23.0476,"https://www.google.com/maps?q=38.8592,23.0455","https://www.google.com/maps?q=38.879,23.0476"
zakynthos,stop,1,2,Keri Village,2.09,37.6786,20.8077,37.661,20.8163,"https://www.google.com/maps?q=37.6786,20.8077","https://www.google.com/maps?q=37.661,20.8163"
koufonisia,stop,2,1,Nero Beach (Kato Koufonisi),2.01,36.9167,25.5888,36.9034,25.5735,"https://www.google.com/maps?q=36.9167,25.5888","https://www.google.com/maps?q=36.9034,25.5735"
